letter     accuracy
0        0.949999988079071
1        0.8500000238418579
2        0.949999988079071
3        0.800000011920929
4        0.8999999761581421
5        0.6499999761581421
6        0.8500000238418579
7        0.949999988079071
8        0.8500000238418579
9        0.699999988079071
10        0.8500000238418579
11        0.529411792755127
12        0.75
13        0.8500000238418579
14        0.8235294222831726
15        0.800000011920929
16        0.6111111044883728
17        0.800000011920929
18        0.9473684430122375
19        0.8500000238418579
20        0.5555555820465088
21        0.7368420958518982
22        0.3529411852359772
23        0.75
24        0.8260869383811951
25        0.7894737124443054
26        0.75
average :   0.7786044577757517
