letter     accuracy
0        1.0
1        0.8500000238418579
2        1.0
3        0.800000011920929
4        0.8500000238418579
5        0.75
6        1.0
7        0.8999999761581421
8        0.8999999761581421
9        0.75
10        0.8999999761581421
11        0.6470588445663452
12        0.800000011920929
13        0.8999999761581421
14        0.8235294222831726
15        0.75
16        0.6111111044883728
17        0.800000011920929
18        0.8947368264198303
19        0.949999988079071
20        0.5555555820465088
21        0.7894737124443054
22        0.5882353186607361
23        0.699999988079071
24        0.9130434989929199
25        0.8421052694320679
26        0.8500000238418579
average :   0.81906850249679
