k =3

letter     accuracy
0             1.0
1              0.5
2            0.6666666666666666
3            0.75
4           0.8
5            0.8333333333333334
6        0.8571428571428571
7        0.875
8        0.8888888888888888
9        0.8
10        0.8181818181818182
11        0.75
12        0.7692307692307693
13        0.7857142857142857
14        0.8
15        0.75
16        0.7058823529411765
17        0.6666666666666666
18        0.6842105263157895
19        1.0
20        0.5
21        0.6666666666666666
22        0.75
23        0.6
24        0.5
25        0.42857142857142855
26        0.375

Process finished with exit code 0
